id,title,year,seasons,episodes
1,Breaking Bad,2008,6,62
2,Planet Earth II,2016,1,6
3,Planet Earth,2006,1,11
4,Band of Brothers,2001,1,10
5,Chernobyl,2019,1,5
6,The Wire,2002,7,60
7,Avatar: The Last Airbender,2005,4,62
8,Blue Planet II,2017,1,7
9,The Sopranos,1999,9,86
10,Cosmos: A Spacetime Odyssey,2014,1,13
11,Cosmos,1980,1,13
12,Our Planet,2019,5,12
13,Game of Thrones,2011,9,74
14,Bluey,2018,8,195
15,The World at War,1973,2,26
16,Fullmetal Alchemist: Brotherhood,2009,2,68
17,Life,2009,1,11
18,Rick and Morty,2013,13,85
19,The Last Dance,2020,1,10
20,The Twilight Zone,1959,6,156
21,Attack on Titan,2013,11,98
22,The Vietnam War,2017,1,10
23,Sherlock,2010,8,15
24,Batman: The Animated Series,1992,4,85
25,Arcane,2021,4,18
